사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2021-08,1호선,1,서울역,792988,756399,145014,136947
2021-08,1호선,10,동묘앞,102153,108130,126958,126884
2021-08,1호선,2,시청,393938,389734,55055,53210
2021-08,1호선,3,종각,616525,597169,101246,94171
2021-08,1호선,4,종로3가,354719,325937,239745,226538
2021-08,1호선,5,종로5가,294470,297772,212219,203116
2021-08,1호선,6,동대문,177982,165020,96696,95636
2021-08,1호선,7,신설동,224937,224563,94340,91559
2021-08,1호선,8,제기동,197069,191778,213619,230294
2021-08,1호선,9,청량리(서울시립대입구),270033,269291,221084,225743
2021-08,2호선,11,시청,432363,416176,38988,35390
2021-08,2호선,12,을지로입구,746057,756840,72063,66949
2021-08,2호선,13,을지로3가,400396,397079,57112,55713
2021-08,2호선,14,을지로4가,210497,208301,70504,69591
2021-08,2호선,15,동대문역사문화공원(DDP),224482,251538,42418,44392
2021-08,2호선,16,신당,245397,257978,79821,81728
2021-08,2호선,17,상왕십리,271693,263782,55042,55731
2021-08,2호선,18,왕십리(성동구청),317602,260183,40313,34106
2021-08,2호선,19,한양대,130467,133476,9609,9422
2021-08,2호선,20,뚝섬,435056,470209,45206,46020
2021-08,2호선,21,성수,707227,779811,82662,84085
2021-08,2호선,22,건대입구,726571,779064,68156,71470
2021-08,2호선,23,구의(광진구청),462644,457944,80830,82923
2021-08,2호선,24,강변(동서울터미널),633618,620226,86393,84546
2021-08,2호선,25,잠실나루,255382,249343,62537,62903
2021-08,2호선,26,잠실(송파구청),1401484,1382916,137872,131411
2021-08,2호선,27,잠실새내,399051,401618,78837,78889
2021-08,2호선,28,종합운동장,124233,133983,29649,30872
2021-08,2호선,29,삼성(무역센터),993775,1002202,82505,75051
2021-08,2호선,30,선릉,1011985,898344,169243,150209
2021-08,2호선,31,역삼,935409,1035992,118132,118905
2021-08,2호선,32,강남,1740176,1700077,134535,119073
2021-08,2호선,33,교대(법원.검찰청),623938,703572,110561,123252
2021-08,2호선,34,서초,413224,391825,54704,53931
2021-08,2호선,35,방배,301101,323088,53735,53461
2021-08,2호선,36,사당,680207,752106,130768,125386
2021-08,2호선,37,낙성대(강감찬),566381,549441,82059,84461
2021-08,2호선,38,서울대입구(관악구청),973159,964103,148153,141234
2021-08,2호선,39,봉천,450915,416674,113664,114157
2021-08,2호선,40,신림,1327193,1288306,176411,179633
2021-08,2호선,41,신대방,530474,513872,99237,100430
2021-08,2호선,42,구로디지털단지,1200446,1206206,130858,133287
2021-08,2호선,43,대림(구로구청),483222,495722,91611,95294
2021-08,2호선,44,신도림,961401,942214,149081,139794
2021-08,2호선,45,문래,404772,418721,60026,59323
2021-08,2호선,46,영등포구청,426877,431159,79020,77307
2021-08,2호선,47,당산,372405,427563,43882,48518
2021-08,2호선,48,합정,672971,697867,52216,51667
2021-08,2호선,49,홍대입구,1172536,1201862,75396,71591
2021-08,2호선,50,신촌,668487,687683,95922,93040
2021-08,2호선,51,이대,251414,266696,36166,37650
2021-08,2호선,52,아현,189846,182321,51424,50714
2021-08,2호선,53,충정로(경기대입구),177046,186320,38195,38365
2021-08,2호선,54,용답,49096,48655,14749,14576
2021-08,2호선,55,신답,28745,34502,7681,8177
2021-08,2호선,56,신설동,54312,51465,25892,27445
2021-08,2호선,57,도림천,25092,25603,6086,6160
2021-08,2호선,58,양천구청,116676,126472,34818,35190
2021-08,2호선,59,신정네거리,182529,191433,56132,57217
2021-08,2호선,60,용두(동대문구청),37463,37705,18644,19459
2021-08,3호선,61,지축,83559,82311,18513,17911
2021-08,3호선,62,구파발,394180,381117,91250,87627
2021-08,3호선,63,연신내,680167,641375,209688,204780
2021-08,3호선,64,불광,278516,299938,109213,119157
2021-08,3호선,65,녹번,292871,262579,58879,58504
2021-08,3호선,66,홍제,292611,275841,107482,105649
2021-08,3호선,67,무악재,68024,67423,22653,25086
2021-08,3호선,68,독립문,111902,115477,53170,51833
2021-08,3호선,69,경복궁(정부서울청사),374943,376246,55352,51447
2021-08,3호선,70,안국,360891,375889,57627,58797
2021-08,3호선,71,종로3가,171526,205564,45521,49857
2021-08,3호선,72,을지로3가,179659,185900,41251,39164
2021-08,3호선,73,충무로,32,0,1,0
2021-08,3호선,74,동대입구,148299,154404,25112,26351
2021-08,3호선,75,약수,234351,229856,64852,60959
2021-08,3호선,76,금호,146055,136971,42448,41913
2021-08,3호선,77,옥수,165500,175624,46313,46983
2021-08,3호선,78,압구정,630106,667432,96463,93485
2021-08,3호선,79,신사,626553,659705,55653,52597
2021-08,3호선,80,잠원,86626,85078,22613,21809
2021-08,3호선,81,고속터미널,864196,837538,127539,121428
2021-08,3호선,82,교대(법원.검찰청),253583,163830,47788,29035
2021-08,3호선,83,남부터미널(예술의전당),583212,602211,89346,89572
2021-08,3호선,84,양재(서초구청),724884,794181,108952,109177
2021-08,3호선,85,매봉,229068,221576,46321,42478
2021-08,3호선,86,도곡,98144,101030,18779,17212
2021-08,3호선,87,대치,223720,217732,46077,44166
2021-08,3호선,88,학여울,28899,29660,10492,9999
2021-08,3호선,89,대청,183092,167995,44233,43105
2021-08,3호선,90,일원,173680,172579,46437,46159
2021-08,3호선,91,수서,313554,322394,78330,77390
2021-08,3호선,92,가락시장,143036,139813,59352,57913
2021-08,3호선,93,경찰병원,133375,133354,32066,32831
2021-08,3호선,94,오금,119202,108840,21429,20686
2021-08,4호선,100,수유(강북구청),657576,653887,150792,150538
2021-08,4호선,101,미아(서울사이버대학),261741,251200,86561,88166
2021-08,4호선,102,미아사거리,511980,494310,141481,140132
2021-08,4호선,103,길음,368882,357636,85428,86116
2021-08,4호선,104,성신여대입구(돈암),402574,388562,64999,64122
2021-08,4호선,105,한성대입구(삼선교),256367,247708,56839,55979
2021-08,4호선,106,혜화,633077,641695,98424,96105
2021-08,4호선,107,동대문,313921,327651,113038,110415
2021-08,4호선,108,동대문역사문화공원(DDP),292698,269124,42867,38315
2021-08,4호선,109,충무로,464459,485936,88234,88285
2021-08,4호선,110,명동,341488,355977,42073,42943
2021-08,4호선,111,회현(남대문시장),374567,399170,127949,127755
2021-08,4호선,112,서울역,195335,297038,29061,32477
2021-08,4호선,113,숙대입구(갈월),243482,239804,40748,38349
2021-08,4호선,114,삼각지,93330,105931,17900,18547
2021-08,4호선,115,신용산,310045,330763,38498,39014
2021-08,4호선,116,이촌(국립중앙박물관),141703,159472,33589,35074
2021-08,4호선,117,동작(현충원),33454,36163,17435,16483
2021-08,4호선,118,총신대입구(이수),326852,358110,114886,121564
2021-08,4호선,119,사당,490050,403150,62416,60396
2021-08,4호선,120,남태령,20204,16483,7092,6616
2021-08,4호선,95,당고개,236153,213387,74756,74347
2021-08,4호선,96,상계,356326,329598,93702,92336
2021-08,4호선,97,노원,384222,433610,67827,66740
2021-08,4호선,98,창동,454091,483992,145475,151515
2021-08,4호선,99,쌍문,570546,519679,123997,122134
2021-08,경부선,121,서울역,132258,41583,7245,1793
2021-08,경부선,122,남영,175565,184157,27572,28691
2021-08,경부선,123,용산,742008,740289,93812,91785
2021-08,경부선,124,노량진,167835,166658,26548,23901
2021-08,경부선,125,대방,235710,245175,51516,51183
2021-08,경부선,126,영등포,744652,758974,165660,164605
2021-08,경부선,127,신도림,71751,70409,19916,22288
2021-08,경부선,151,신길,174071,143453,35720,33195
2021-08,경부선,249,구로,362442,369712,73906,71299
2021-08,경부선,250,가산디지털단지,346057,417715,27227,30342
2021-08,경부선,251,금천구청,210422,210346,59686,60726
2021-08,경부선,252,석수,188913,168665,36972,35091
2021-08,경부선,253,관악,129377,121642,39874,38514
2021-08,경부선,254,안양,416531,413174,87967,91870
2021-08,경부선,255,명학,167839,166030,32772,31972
2021-08,경부선,256,금정,513539,522637,86549,87426
2021-08,경부선,257,군포,143262,141756,27288,26373
2021-08,경부선,258,의왕,167675,167565,33052,33131
2021-08,경부선,259,성균관대,274916,276850,37345,37523
2021-08,경부선,260,화서,136425,132872,30115,29387
2021-08,경부선,261,수원,741199,775575,103726,106384
2021-08,경부선,262,독산,334649,350089,49716,50956
2021-08,경부선,263,세류,59903,56192,11711,11304
2021-08,경부선,264,병점,282211,282428,48670,48615
2021-08,경부선,265,세마,50725,47733,11448,10938
2021-08,경부선,266,오산대,62442,58179,12409,11907
2021-08,경부선,267,오산,200291,200679,34696,35281
2021-08,경부선,268,진위,29683,25830,6096,5728
2021-08,경부선,269,송탄,90076,86472,16365,15485
2021-08,경부선,270,서정리,126861,124431,24505,24249
2021-08,경부선,271,평택지제,67921,64018,8689,8421
2021-08,경부선,272,평택,248317,246992,49169,48231
2021-08,경부선,273,성환,62527,63978,14594,14944
2021-08,경부선,274,직산,14656,14751,3682,3526
2021-08,경부선,275,두정,104177,106108,16800,17095
2021-08,경부선,276,천안,95694,98209,44583,45049
2021-08,경부선,277,당정,113414,109490,22920,22397
2021-08,경부선,278,서동탄,27349,24571,6100,5987
2021-08,경부선,279,광명,70372,60617,6858,6541
2021-08,경인선,293,개봉,389353,392608,119246,125534
2021-08,경인선,294,오류동,216060,201587,70301,68941
2021-08,경인선,295,역곡,505672,502473,118507,120899
2021-08,경인선,296,부천,631789,633157,163626,166064
2021-08,경인선,297,송내,520630,520973,92468,91303
2021-08,경인선,298,부평,623369,662919,109914,111336
2021-08,경인선,299,백운,120928,119484,45727,46161
2021-08,경인선,300,동암,286916,288557,74399,75819
2021-08,경인선,301,주안,377057,342993,68312,60824
2021-08,경인선,302,제물포,189466,182591,47353,47208
2021-08,경인선,303,동인천,243223,231173,91876,89338
2021-08,경인선,304,인천,65396,47232,34478,31138
2021-08,경인선,305,구일,107035,108734,32415,31836
2021-08,경인선,306,소사,159549,155148,47357,47369
2021-08,경인선,307,부개,151254,140201,49070,48197
2021-08,경인선,308,간석,105435,100331,35124,34390
2021-08,경인선,309,도원,43754,43808,22581,24020
2021-08,경인선,310,온수(성공회대입구),116367,111972,37047,35720
2021-08,경인선,311,중동,161272,151496,54088,53135
2021-08,경인선,312,도화,68334,62585,30609,29724
2021-08,경원선,128,이촌(국립중앙박물관),67478,51195,20619,17990
2021-08,경원선,129,서빙고,33189,29216,12105,11211
2021-08,경원선,130,한남,74269,70261,23250,21492
2021-08,경원선,131,옥수,1322,878,82,45
2021-08,경원선,132,응봉,29210,24418,12913,11730
2021-08,경원선,133,왕십리(성동구청),279151,325780,49105,53805
2021-08,경원선,134,청량리(서울시립대입구),274321,280538,118082,126543
2021-08,경원선,136,외대앞,131966,132372,35576,37113
2021-08,경원선,137,신이문,146244,133919,55320,53805
2021-08,경원선,138,석계,144174,163918,49110,53410
2021-08,경원선,139,광운대,138171,131697,44329,43553
2021-08,경원선,140,월계,99360,94768,48660,46999
2021-08,경원선,141,녹천,79873,66637,30919,27513
2021-08,경원선,142,창동,3,0,3,0
2021-08,경원선,358,방학,147733,143880,84532,83786
2021-08,경원선,359,도봉,89323,84291,58546,58158
2021-08,경원선,360,도봉산,115631,61360,93745,74518
2021-08,경원선,361,망월사,121591,124503,55169,56182
2021-08,경원선,362,회룡,185396,183811,113560,113178
2021-08,경원선,363,의정부,366774,379339,85090,86686
2021-08,경원선,364,가능,115483,110075,46415,46009
2021-08,경원선,365,녹양,79255,76675,30381,29392
2021-08,경원선,366,양주,144081,135522,46445,45300
2021-08,경원선,367,덕계,53215,47465,17438,16820
2021-08,경원선,368,덕정,101029,97696,27436,27611
2021-08,경원선,369,지행,118713,118381,35727,35927
2021-08,경원선,370,동두천중앙,49049,47518,29260,28770
2021-08,경원선,371,보산,28425,26171,11522,10702
2021-08,경원선,372,동두천,30314,34020,21041,25377
2021-08,경원선,373,소요산,27883,21261,66302,60212
2021-08,안산선,280,산본,299031,326065,72899,75401
2021-08,안산선,281,대야미,93149,83934,24802,23768
2021-08,안산선,282,반월,78119,75744,22701,22468
2021-08,안산선,283,상록수,315560,317236,54165,54771
2021-08,안산선,284,한대앞,169906,169521,34430,34981
2021-08,안산선,285,중앙,362289,375501,44218,43545
2021-08,안산선,286,고잔,172758,164697,26250,25119
2021-08,안산선,287,초지,89229,92147,11902,12105
2021-08,안산선,288,안산,258037,239725,30479,28603
2021-08,안산선,289,신길온천,32519,29792,8092,8029
2021-08,안산선,290,정왕,161884,171949,21122,22580
2021-08,안산선,291,오이도,180982,176164,31652,30983
2021-08,안산선,292,수리산,70849,56699,26105,24260
2021-08,과천선,230,선바위,160067,139953,25031,24900
2021-08,과천선,231,경마공원,21306,20760,7102,6851
2021-08,과천선,232,대공원,42823,45547,31999,32123
2021-08,과천선,233,과천,101694,93426,31383,30177
2021-08,과천선,234,정부과천청사,189435,188481,38544,38477
2021-08,과천선,235,인덕원,450652,468660,77193,80049
2021-08,과천선,236,평촌,339262,333785,48105,47842
2021-08,과천선,237,범계,511639,505245,76049,74641
2021-08,분당선,143,선릉,247743,367449,32907,42284
2021-08,분당선,144,한티,302688,317123,49525,50929
2021-08,분당선,145,도곡,118666,116991,32351,31070
2021-08,분당선,146,구룡,31586,30625,11096,10993
2021-08,분당선,147,개포동,67081,69646,17992,17792
2021-08,분당선,148,대모산입구,63639,58112,22871,22695
2021-08,분당선,149,수서,265588,272966,49098,50437
2021-08,분당선,150,복정,11,0,0,0
2021-08,분당선,313,수원,169086,140268,23707,21222
2021-08,분당선,314,서울숲,215596,217377,22318,21919
2021-08,분당선,315,압구정로데오,402436,441341,35733,33740
2021-08,분당선,316,강남구청,187467,216607,29555,31877
2021-08,분당선,317,선정릉,150670,161130,20902,20332
2021-08,분당선,318,가천대,126586,148959,20962,22132
2021-08,분당선,319,태평,257671,239701,73651,76606
2021-08,분당선,320,모란,357668,351720,135499,147010
2021-08,분당선,321,야탑,470284,497475,108102,107275
2021-08,분당선,322,서현,482074,492406,89008,85467
2021-08,분당선,323,수내,245274,244783,55348,54022
2021-08,분당선,324,정자,327457,345682,47233,47516
2021-08,분당선,325,미금,275319,292194,80766,85488
2021-08,분당선,326,오리,213649,176550,55641,47918
2021-08,분당선,327,이매,99928,94620,29275,28350
2021-08,분당선,328,보정,40025,34732,14511,13747
2021-08,분당선,329,죽전,252109,282103,49633,54104
2021-08,분당선,330,구성,82903,91298,25002,25480
2021-08,분당선,331,신갈,80464,80254,20391,20887
2021-08,분당선,332,기흥,185459,177471,32715,31713
2021-08,분당선,333,상갈,99732,98161,24073,23410
2021-08,분당선,334,청명,78126,75117,14532,14408
2021-08,분당선,335,영통,165362,167954,21296,21742
2021-08,분당선,336,망포,280980,268773,26698,25712
2021-08,분당선,337,매탄권선,96024,92282,14646,14155
2021-08,분당선,338,수원시청,257674,273362,29746,30484
2021-08,분당선,339,매교,52427,52727,12841,12896
2021-08,일산선,374,원흥,193922,186855,45149,43397
2021-08,일산선,375,지축,4,0,0,0
2021-08,일산선,376,삼송,358197,347564,77110,78078
2021-08,일산선,377,원당,198483,188855,63618,62737
2021-08,일산선,378,화정,310788,322011,88656,91359
2021-08,일산선,379,대곡,33723,25602,10453,9834
2021-08,일산선,380,백석,179132,180374,55745,55183
2021-08,일산선,381,마두,125352,129678,49599,50861
2021-08,일산선,382,정발산,141576,144173,36383,34093
2021-08,일산선,383,주엽,147494,146031,64350,66302
2021-08,일산선,384,대화,239104,191825,60934,56769
2021-08,중앙선,135,회기,461990,451274,98598,96497
2021-08,중앙선,152,중랑,98438,93154,41057,40191
2021-08,중앙선,153,상봉(시외버스터미널),114627,115387,33503,31780
2021-08,중앙선,154,망우,129501,126885,56441,57498
2021-08,중앙선,155,양원,27528,27992,14320,14361
2021-08,중앙선,156,구리,251229,258548,63992,64977
2021-08,중앙선,157,도농,178906,165455,46796,45383
2021-08,중앙선,158,양정,12574,10647,7370,6757
2021-08,중앙선,159,덕소,99518,99952,37972,37840
2021-08,중앙선,160,도심,41752,31523,14821,13969
2021-08,중앙선,161,팔당,20940,21143,7484,7558
2021-08,중앙선,162,운길산,14570,13148,10216,10001
2021-08,중앙선,163,양수,33706,33414,20789,21371
2021-08,중앙선,164,신원,2987,2321,2923,2413
2021-08,중앙선,165,국수,10355,10006,7522,7584
2021-08,중앙선,166,아신,10161,9929,4863,4924
2021-08,중앙선,167,오빈,4593,4462,3370,3389
2021-08,중앙선,168,양평,47592,47113,24950,25428
2021-08,중앙선,169,원덕,4794,4255,4995,4796
2021-08,중앙선,170,용문,28032,27705,37264,37044
2021-08,중앙선,171,지평,740,937,1112,1082
2021-08,장항선,224,봉명,19066,18399,8086,7816
2021-08,장항선,225,쌍용(나사렛대),33525,31464,8700,8410
2021-08,장항선,226,아산,62921,55721,8697,8179
2021-08,장항선,227,배방,19135,18938,5442,5404
2021-08,장항선,228,온양온천,57091,58437,34129,34772
2021-08,장항선,229,신창(순천향대),26572,26932,6635,6239
2021-08,경의선,173,신촌,15616,18673,2991,3253
2021-08,경의선,174,효창공원앞,53183,62660,11943,12958
